customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
eb03682e1118b3af176b229932bfa8be,9553802042571deac62d5789ed18a241,95765,bom principio,RS
2c7fd840b20f1551c8a151f86349f19a,4c592d97ec529a019883285afe424187,95124,caxias do sul,RS
8a3083e3f5500b50d6f4f3003604df87,ad1ba362b0121447945a47fe07fef188,37950,sao sebastiao do paraiso,MG
03f7c28100418ce57927a01d62a6cdf3,ff80f08b2a6a87e84a28bda4613f99bf,21010,rio de janeiro,RJ
3d32aac5bce2d5bde5b0645ef8b319bc,d6caf670c8bf91aed723f242cafb71c8,29305,cachoeiro de itapemirim,ES
14637e4d4896ccbebeaf2a02b0e2a851,f63181dd4c5b7d91e47629ecb64505c7,23906,angra dos reis,RJ
d829dcbbc1ddabd3a91c20b64e2ce5d8,5c3a15e958c7a36e722408cd2ce8b34e,01044,sao paulo,SP
a94a18b754523b6845747ab60c906ece,ae0fa4150b81d44201545e47d2aa9ccf,71571,brasilia,DF
ba4ec83bdd2a861c366574f0d4cef56c,8479ef9838c9bca6f1ad143f1c0404f9,15460,icem,SP
81c1b162b444c41613ad9285e92d6beb,e65a6776046796b39fe251f71b6abd6f,22733,rio de janeiro,RJ
5889225db49e6bd4c1280c55dacd8b75,9533ce91d1190c076a4a1cf4ffd0f7fc,13206,jundiai,SP
86461f32d75c88adf526de69438d0a9f,1fe7afd58ce8429c5a8d27bf8c24738f,38280,iturama,MG
24fc6ae10363187c6761d4f8ad137cf7,f6139ab3e9e9100d5210dc8467c38663,46220,rio do antonio,BA
dae09add1fb0749dd2deb3555fb5ff52,cb2b7396e93f306c9076b63930b1a332,30140,belo horizonte,MG
5e78f8af6f430ad990614cd6a8c882d3,b7d7b6cdeefc2fe237759cfedd2bdb5a,23060,rio de janeiro,RJ
6a3392d49966d00c8547fc17d85c2490,c0441350fc63bde5244872590587f1b6,83702,araucaria,PR
e26479d04765d65d6a871173f38ff5a9,552fc05a13d28356a38e8b13f64cbe4f,76710,aruana,GO
bf06992fd27d8a0a950104151b8ca61e,0284ca4015977edc8413c917b8e68355,02435,sao paulo,SP
90006c9239e7ad344dfc506766bd4a9d,b0393dd04c5516902c42d133f56fcee2,14708,bebedouro,SP
82dca5a0d58f3e7847e28a177e70f1e0,af4c1cf7039f636488d13fded958e7fe,78556,sinop,MT
c421c11493ae12b2aa0d0e455f015299,15c9f1f3d32d5226f79571a100a8f7fe,05271,sao paulo,SP
1d68bd2a2634f0efc973f13b9ade0384,458e853410c62ec3c56ddb76250e67a8,74770,goiania,GO
20fed89d4e154ab11be0d7dc8550a980,6beccfbe45aa4b180d2b6885886fccd6,04186,sao paulo,SP
301636c99160f8491897102bc9314600,12178c40438799ec2effb7040c841290,74915,aparecida de goiania,GO
af8172141c0b941edc73d75ad7264d84,ec158a6c62c1097f7ed70bb07b837bde,09090,santo andre,SP
de32fa9a83d181f71df655e44364be0e,39094e047e3f3dcc87adf483feb32a07,18078,sorocaba,SP
b755c5f04fe5e214d68445fb210d512a,a3f4ba0143a3650588df81509d44c7c9,05365,sao paulo,SP
6b512ff5290c944376228994fdb4a2a8,da5d40e473fee06248b1610e35100789,29102,vila velha,ES
45210550b0f00e247f82f8ed5b08bf4d,a82301b543c924e58739adcb64ac52b1,29102,vila velha,ES
17effd274d2fba6bd4b91ac477f63991,da5d6f1b3e1b8fd034ca96eadb28eed3,33200,vespasiano,MG
1ba1881ebdbdef7f2d119f63a4aa602c,ff8a98860a86a0f563a92a43b3344414,15685,ouroeste,SP
97b5f2f6aafce8ce852721e5458caa49,575c80c905c6a56143d0536aa077c3cd,01423,sao paulo,SP
9e2652c3469d9367573a7659b60a44a1,72901472acafbb0d4fc5d59ba4357c40,70744,brasilia,DF
e8bfce998bdf363fe7a15422b17c1597,5b59166412dd5595f77a43b217c39132,03067,sao paulo,SP
64ec93bbc386d22c3f10849c7352d319,2ef24b1be3c76a3404b9a8268aaa2728,74180,goiania,GO
d8276321745dbeb7bd88721af2a181f3,fc0c8fedf06f4315139f755425a28b85,13275,valinhos,SP
9ed9389154097d9d798fef8d7e8354c6,b82c451731cadb4d5e275ff087ad4845,27263,volta redonda,RJ
3eef17cb7b0ffaf55b88ddfa3d793bfe,88785e3fc48d90acabb7429b07139fc2,92440,canoas,RS
920de9467dd250906015fc6c01d08f14,1d568eb00797648b8b1ae1795f98a571,75690,caldas novas,GO
16b64f7b6d8c8a1952ca8b8bca2c5a30,4d8b0f13351d2525b0177089f4f72540,09930,diadema,SP
afdbdd6ec103b8d9549f8ec395ed5671,0cee82b00c2425e61081b7dfc85b248f,13222,varzea paulista,SP
5f82b6799f7f5bda22833caafe7e8cd2,69173628c3f6d1c28d6285dfdf9f5dcc,05509,sao paulo,SP
10e925f935d8bfe0a9edf39378996fd7,a58b1fe8146940d706e5f07d73bc7d51,22775,rio de janeiro,RJ
8c4630c4405c6b83c913ab4406132a08,a1de3c5e54af84b0f1c177fbdd418078,38475,monte alegre de minas,MG
fe01d69c1c9046eed7b45b06a443562a,878995c4c85a533aeb77e28e7bfa0edf,90840,porto alegre,RS
c3ee7decdc6cad76fcbfea4c360943d0,5ba3752845638cceebbf30d2acbf08b5,36880,muriae,MG
9745530bf7ae3bd09df91feac9b7b827,528eab7339748224af6eb22ba7af1062,09350,maua,SP
9a7d2f02363a5baffe17935aac9a56e8,4cd6ab2af0054a9ddc8b5010c5e4847d,83880,rio negro,PR
de0aef172ea9ed32450b0269c90e26b6,d045537cf9bd29e415334af5a6cb8ff5,04510,sao paulo,SP
413222dcd7d8078653a8eaa81ba8d96b,ec31ab57bc5e2588a118777ce93ebaf0,30380,belo horizonte,MG
696107b2309e169b96576869e2a41b81,4217e360ce860e7f32001e81531d6217,15170,tanabi,SP
01a56495d1c8bcf831311f5ad7f126a1,5733152cb1f37713b8dbe91142bcf91b,13905,amparo,SP
7d32094fa9c3a39dc91a3947cbef7a13,89b4bdf3c35096d8da5e0c3ee606e96d,77060,palmas,TO
a60e479a3fc936109dc7eec87f4bcfd6,2631abfcc64f59ec68847f78eb83cca7,91910,porto alegre,RS
55b0fd9cdf955584decbf774489ef0be,7c32e20443a43ee042b2d5eeb8955e3a,11660,caraguatatuba,SP
c4661023cc14f8b203bb388f6d486f3e,9b54a46b943ee3d1ebc2a2d1bc79e0f0,08246,sao paulo,SP
cae68961658812a8ad198ed27fb51200,474ca13daf52d941cc06e5a601d86f66,12316,jacarei,SP
20256d1b88643a4f8efaae9213d04da5,ce8ba371d325ce2856f4ef4c99737d7d,44002,feira de santana,BA
