review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
e07eee7ad7666276bd8b27fbd83fd1ff,68b3cbc68e4cd1fe19bec35f1d3bb7ee,5,,relógio muito bonito e barato.,2018-03-29 00:00:00,2018-04-02 14:19:31
0dc56be1dabd04c994a0fce5478bb16d,f4c47c5163aecbdc7ce04fa55857b332,4,,,2017-10-10 00:00:00,2017-10-11 14:23:53
42ae74a43661be8587b2e2db054179db,0a187dd7f4efe70e8c3b6e3779b3b133,5,,Ótimo custo-benefício,2017-09-14 00:00:00,2017-09-15 14:15:14
c399eafa15aafaecdd1d9008f5b34ed6,3081ddf6e7c6afa4e4124e7882486fcd,5,,"Entregou no prazo certo, fiquei feliz com a compra que fiz",2017-06-23 00:00:00,2017-06-24 00:58:52
a65ee60874d8595355a95edb176d89a0,c99763ba8bcad2845131b6e9d2f203fc,5,,,2017-09-19 00:00:00,2017-09-20 00:32:46
5fdcb2a2c4de7fbbf5715788535f4a96,058350ebe1e9c9b426d1331b4b6063d1,4,,"Gostei muito do produto era exatamente boque eu esperava, entrega dentro do prazo, parabéns recomendo a loja",2017-03-31 00:00:00,2017-04-03 14:38:12
f5341e7a7371be7c0730ccb38420f662,2228de938a229c135ae3bd0bf71a128c,5,,,2018-04-28 00:00:00,2018-04-30 12:00:49
b0122cb1623fa4d1e74e7ab9de549465,87cbf27ac970c7423f11157c2ef6ec26,5,,,2018-02-09 00:00:00,2018-02-09 19:42:47
c5976a5a98e854fb23d7e03c6754ae60,2002ea16e75277eaa0b5d78632048540,5,,,2017-08-08 00:00:00,2017-08-10 11:11:29
25f99ae535d54e7bbf90244b78792c0f,b022357c03da2d91ba22d886af2c83a5,5,,,2017-10-11 00:00:00,2017-10-14 02:31:05
678fe12d1503e54f2af9df3595fdb4cb,98c054318dc270816f8357351ffc4449,3,,,2018-06-12 00:00:00,2018-06-14 18:14:22
24cafc3963a07103b4eca00416748caf,6d6f16813fbb3448a034fc242a2603c6,5,,,2017-12-10 00:00:00,2017-12-11 11:11:43
fadbb6e8c12f707455054fbd9efcd289,264deac888717a54971fa3109f6709e3,5,,Recomendo,2017-12-09 00:00:00,2017-12-13 01:16:52
48869ca20e2ca762cd6bdd880c8ccae5,32efd401773730f7d0d1c5ae2b841465,5,Recomendadíssimo,Fui surpreendido pela eficácia. Ótimo atentimento.,2018-07-05 00:00:00,2018-07-05 21:28:40
35ae251380ed456cad351fdf80beeb88,42d0d6be3900c1f50190096f216695b1,5,,"só acho que poderia ter comprado mais cartuchos, mas não as fiz porque cada cartucho veio em um frete diferente, coisa que poderiam ser colocados em um único pacote, o que baratearia o frete.",2018-01-16 00:00:00,2018-01-17 02:55:12
1dbcc137546c3caffd1bcb2caecc26d4,5e0140671ad91ce830fb2b33a3210d1b,5,,,2017-10-18 00:00:00,2017-10-20 15:13:35
0508f6a6207fa536010145f92caa72fc,cfe2129968372224ea392ad47c0d5b02,5,,,2018-01-23 00:00:00,2018-01-24 09:57:39
1e8f9a7e6708edffd4ba8a9a8079e9c2,e4e3babab4d0f208cb6963df2458709d,5,,,2017-12-14 00:00:00,2017-12-18 15:08:55
25b6fc07ef3b4e3a2b814b7a1d862c70,54b7ba0e3a2e8a0f9f68011432a52575,5,,,2018-02-04 00:00:00,2018-02-05 22:01:45
c3d62d7dd729527efda7fc41c2edf7f5,8e7067b0751f4e22d4e31728a9a8323e,5,,,2018-02-08 00:00:00,2018-02-09 14:05:46
f8f7f02bb2354462e17705268f1e6d52,36b7b9c89099230dbecdcde16e84c1cd,5,,"Ainda não recebi um dos relógios, ainda aguardando...obrigada!",2018-04-04 00:00:00,2018-04-05 12:51:40
24f548221d0d85043fe201d409b7c8e5,d37320918ed46f4cd29a218da930fb0c,5,,,2017-12-03 00:00:00,2017-12-18 15:59:21
40506badbb397b0c0d8ea9605f52a459,ed159f7220fe49164a43fbf4fe3a15d1,5,recomendo,,2018-08-11 00:00:00,2018-08-12 13:42:06
069a024b17e0099931fddf6006ab033b,3f53ab479c257a4c6c027d24e4a2ffee,5,,"Ótima empresa, entregou antes do prazo.
Vocês estão de parabéns.",2017-12-20 00:00:00,2017-12-20 20:58:47
bf757ac03350dbdc4b28e5142fe1697d,57665b3fb0f04270d6b333c9d1f80a61,4,,,2018-08-07 00:00:00,2018-08-08 02:03:52
ddc9780b259f54796b4d8197c01339cb,d032dd122bc93c30a420b6ee101c7f69,5,,foda,2018-02-06 00:00:00,2018-02-07 02:50:27
