seller_id,seller_zip_code_prefix,seller_city,seller_state
8bd0f31cf0a614c658f6763bd02dea69,01222,sao paulo,SP
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,SC
f9ec7093df3a7b346b7bcf7864069ca3,05138,sao paulo,SP
f7496d659ca9fdaf323c0aae84176632,04156,sao paulo,SP
2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,SP
116ccb1a1604bc88e4d234a8c23f33de,09850,sao bernardo do campo,SP
d9a84e1403de8da0c3aa531d6d108ba6,03562,sao paulo,SP
8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,MG
2d50d6282f8aa2257819a77bfaa0efe0,14940,ibitinga,SP
a416b6a846a11724393025641d4edd5e,03702,sao paulo,SP
7e93a43ef30c4f03f38b393420bc753a,06429,barueri,SP
ef506c96320abeedfb894c34db06f478,03569,sao paulo,SP
a13aaf2d2886ab9fb30fb9a920160b8f,89207,joinville,SC
7299e27ed73d2ad986de7f7c77d919fa,38440,araguari,MG
b2479f944e1b90cf8a5de1bbfde284d6,14940,ibitinga,SP
d650b663c3b5f6fb392b6326366efa9a,06713,cotia,SP
abe42c5d03695b4257b5c6cbf4e6784e,21235,rio de janeiro,RJ
8bb48dc19fccaa8613b6229bf7f452a2,19803,assis,SP
0c8380b62e38e8a1e6adbeba7eb9688c,37410,tres coracoes,MG
37be5a7c751166fbc5f8ccba4119e043,04248,sao paulo,SP
44073f8b7e41514de3b7815dd0237f4f,71070,brasilia,DF
9d39404483343dd55c7ae254494d8388,01044,sao paulo,SP
0692610d8abe24f287e9fae90ea0bbee,02310,sao paulo,SP
99002261c568a84cce14d43fcffb43ea,78095,cuiaba,MT
e5899683388855d3dabe8913bbe365de,13575,sao carlos,SP
82e0a475a88cc9595229d8029273f045,03417,sao paulo,SP
ed4acab38528488b65a9a9c603ff024a,08260,sao paulo,SP
7b98de631987e26dd6d803490c43a13c,87900,loanda,PR
f12ff17ad8bbf01ec5c33b17e506649b,03186,sao paulo,SP
229c3efbfb0ea2058de4ccdfbc3d784a,30190,belo horizonte,MG
95ec4458365c4d11f452ccf538377619,13481,limeira,SP
fa40cc5b934574b62717c68f3d678b6d,02310,sao paulo,SP
8b2492b7ff4468839593fafeed55bad9,24451,sao goncalo,RJ
5e49e3a44bdeb5aab2684258bbd4f525,88330,balenario camboriu,SC
aaed1309374718fdd995ee4c58c9dfcd,89120,timbo,SC
9e6229250fedbe05838fef417b74e7fb,16800,mirandopolis,SP
3db66a856d18a9cba7c9241fc5221c50,35430,ponte nova,MG
b4a476fbd28de64b1e347abf9089366a,06653,itapevi,SP
a17f621c590ea0fab3d5d883e1630ec6,18055,sorocaba,SP
55bb6fe5bebe5012e2d7d9928e1128ff,17052,bauru,SP
7d13fca15225358621be4086e1eb0964,14050,ribeirao preto,SP
1b4c3a6f53068f0b6944d2d005c9fc89,88730,sao ludgero,SC
b92e3c8f9738272ff7c59e111e108d7c,36502,uba,MG
b8555308bfdb4ca1ed54325a58da9a97,09751,sao bernardo do campo,SP
1dc2de47ee26a0a5b12dc14fd6dc0dea,14940,ibitinga,SP
4917cee8d902e13428c3ec4b1ca6f315,89031,blumenau,SC
b14db04aa7881970e83ffa9426897925,18048,sorocaba,SP
a3e9a2c700480d9bb01fba070ba80a0e,14940,ibitinga,SP
516e7738bd8f735ac19a010ee5450d8d,22230,rio de janeiro,RJ
9f505651f4a6abe901a56cdc21508025,04102,sao paulo,SP
7142540dd4c91e2237acb7e911c4eba2,16301,penapolis,SP
a3a38f4affed601eb87a97788c949667,89204,joinville,SC
8b9d6eec4a7eb7d0f9d579ce0b38324d,26562,mesquita,RJ
83deb69e889cf80f82be1dc6d5f2d486,88056,florianopolis,SC
79ebd9a61bac3eaf882805ed4ecfa12a,85802,cascavel,PR
8e6d7754bc7e0f22c96d255ebda59eba,12233,sao jose dos campos,SP
cbd996ad3c1b7dc71fd0e5f5df9087e2,15081,sao jose do rio preto,SP
e067ad2c1c0b48758eb1b5228bcf7a68,11045,santos,SP
5acd070dd3fe441bbb2ec1f1ede515ee,13203,jundiai,SP
6d803cb79cc31c41c4c789a75933b3c7,14600,sao joaquim da barra,SP
5f2684dab12e59f83bef73ae57724e45,05125,sao paulo,SP
8b321bb669392f5163d04c59e235e066,01212,sao paulo,SP
76d64c4aca3a7baf218bf93ef7fa768d,80215,curitiba,PR
004c9cd9d87a3c30c522c48c4fc07416,14940,ibitinga,SP
b4f8921fcc4ff77b66bea6dda43dcd51,95034,caxias do sul,RS
aba1721a889e04decc910aa13b768ef4,05729,sao paulo,SP
cab85505710c7cb9b720bceb52b01cee,02252,sao paulo,SP
9a03a4e9eb0b947652fae4f6121a3f5e,15805,catanduva,SP
3df020b72d3d44b3af9d110fa3940b65,15704,jales,SP
89de2d6f23e9746ff309705b23581faa,86060,londrina,PR
3bfba5a77604f6dfae7e6dd7aaf65821,86046,londrina,PR
0d33a55da925bbf1ff02af5f6059fc7f,05632,sao paulo,SP
955fee9216a65b617aa5c0531780ce60,04782,sao paulo,SP
751bdc4d83a466c7206cd42e8f426b03,09405,ribeirao pires,SP
5a93f3ab0ef4c84ed5e1b5dbf23978bc,12250,monteiro lobato,SP
0176f73cc1195f367f7b32db1e5b3aa8,14940,ibitinga,SP
ceaec5548eefc6e23e6607c5435102e7,03821,sao paulo,SP
c8771b1a10bb99bb34d3c459c5cffb53,36512,tocantins,SP
e9bc59e7b60fc3063eb2290deda4cced,87083,maringa,PR
fa1a9dec3a9940c072684a46728bf1fc,88820,icara,SC
cb8bcce248bb1fb274ba762d8b971456,37540,santa rita do sapucai,MG
b6d44737c043328708f6749c2dbe50bd,09230,santo andre,SP
cfb1a033743668a192316f3c6d1d2671,18110,votorantim,SP
dc64d75cc406bb0697be983831430e60,31560,belo horizonte,MG
259f7b5e6e482c230e5bfaa670b6bb8f,08550,poa,SP
dd7ddc04e1b6c2c614352b383efe2d36,03471,sao paulo,SP
f457c46070d02cadd8a68551231220dd,87047,maringa,PR
1f50f920176fa81dab994f9023523100,15025,sao jose do rio preto,SP
d93919c944be9cff128f6c9cb899eacb,13375,mombuca,SP
f7ba60f8c3f99e7ee4042fdef03b70c4,09628,sao bernardo do campo,SP
002100f778ceb8431b7a1020ff7ab48f,14405,franca,SP
8ff1a9df749e454105c55cda13e79143,17509,marilia,SP
f84a00e60c73a49e7e851c9bdca3a5bb,20756,rio de janeiro,RJ
e5a38146df062edaf55c38afa99e42dc,01233,sao paulo,SP
