order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
00143d0f86d6fbd9f9b38ab440ac16f5,1,e95ee6822b66ac6058e2e4aff656071a,a17f621c590ea0fab3d5d883e1630ec6,2017-10-20 16:07:52,21.33,15.10
00143d0f86d6fbd9f9b38ab440ac16f5,2,e95ee6822b66ac6058e2e4aff656071a,a17f621c590ea0fab3d5d883e1630ec6,2017-10-20 16:07:52,21.33,15.10
00143d0f86d6fbd9f9b38ab440ac16f5,3,e95ee6822b66ac6058e2e4aff656071a,a17f621c590ea0fab3d5d883e1630ec6,2017-10-20 16:07:52,21.33,15.10
00a379dfab816a83741012b71b264098,1,786248c98cab9ad5cccdb751909da1af,1da3aeb70d7989d1e6d9b0e887f97c23,2018-08-07 20:04:20,15.99,7.39
01bc343311e5b8090b64d6ab287a5cf0,1,c8c969c3a6423f48df9fde8a13e6770b,b2479f944e1b90cf8a5de1bbfde284d6,2018-02-28 14:50:40,21.99,15.10
01bc343311e5b8090b64d6ab287a5cf0,2,c8c969c3a6423f48df9fde8a13e6770b,b2479f944e1b90cf8a5de1bbfde284d6,2018-02-28 14:50:40,21.99,15.10
0231f6b89e5798ff6c0dfb1e18a94da9,1,aed75ad669fbebd5a385ac7cc2ae7573,17f51e7198701186712e53a39c564617,2018-08-20 12:50:19,550.00,98.77
024a74550cdbd36c0fe3955fc9e2bcf0,1,5348b1bdd951b67a4d2a58992e2233ed,ea8482cd71df3c1969d7b9473ff13abc,2018-08-13 08:50:19,27.99,7.46
02624f7cd7272b3e027320023dbdc99b,1,3db75f31b76375c502f64d550dcd1166,85d9eb9ddc5d00ca9336a2219c97bb13,2017-10-30 03:31:56,31.90,16.79
032de52b21013e176ee997c8f210dd66,1,1164c17af70425821f88bfbdc9e907a3,2d50d6282f8aa2257819a77bfaa0efe0,2017-12-14 02:54:15,50.00,15.10
0343fa2096b6d04743321f9b9f62c1e0,1,dd12801e4d1919e84bf6f90167f22fb5,b499c00f28f4b7069ff6550af8c1348a,2018-09-03 09:55:13,44.99,8.49
0343fa2096b6d04743321f9b9f62c1e0,2,bc0d2d816d425e6ce3e80d8b9887d324,b499c00f28f4b7069ff6550af8c1348a,2018-09-03 09:55:13,49.99,8.49
036ea72a17833a6fbbcd3e4df8250292,1,6401d2f82d6e6c52998ce626fe4eda24,835f0f7810c76831d6c7d24c7a646d4d,2017-09-12 06:24:16,69.90,15.24
03ee28c413aaef04d718e00ed85eb678,1,8626b155de04e2d0d6e1e907fbcf0cd2,76d5af76d0271110f9af36c92573f765,2017-02-26 10:54:37,45.70,20.43
040ffb806b943aa19e0b176e7746b2b7,1,2f9c0e14be2e1e641c76a4d0b3032043,cbf09e831b0c11f6f23ffb51004db972,2018-08-03 16:44:19,519.00,37.69
041bceeb0d1b95b5079ffb1ba84a779d,1,f646af315b0f3a597f69213537ca2199,3df020b72d3d44b3af9d110fa3940b65,2017-09-04 13:15:12,49.90,17.92
041bceeb0d1b95b5079ffb1ba84a779d,2,f646af315b0f3a597f69213537ca2199,3df020b72d3d44b3af9d110fa3940b65,2017-09-04 13:15:12,49.90,17.92
0518657f142278ad13d645c6b5b0a669,1,2190082493d586e315bfbb93762ab3e3,43f8c9950d11ecd03a0304a49e010da6,2017-10-27 08:49:13,49.99,14.10
058350ebe1e9c9b426d1331b4b6063d1,1,880be32f4db1d9f6e2bec38fb6ac23ab,fa40cc5b934574b62717c68f3d678b6d,2017-03-21 05:44:17,42.99,15.65
05bf7a31e9d3eecf93db6a8e4508ed8a,1,54d9ac713e253fa1fae9c8003b011c2a,955fee9216a65b617aa5c0531780ce60,2018-03-08 13:29:52,35.00,19.84
05e8d222c5597784b04c804e183599c7,1,389d119b48cf3043d311335e499d9c6b,1f50f920176fa81dab994f9023523100,2017-11-28 18:06:45,59.90,17.67
05f5cfec67106e59d6280f62c4792d25,1,8ebb1bc470f9bfd4017c0be0773211ad,845e8036c3f7bf62099352f5ed910240,2018-07-30 10:35:16,49.90,15.45
063009988101940b4392ba9b2f2ca112,1,6f248e27719f6f299e711e02651b6df6,81336a0f57a33776419727a300249e90,2018-03-26 02:49:04,14.49,13.71
0650ef96422834cca0cc7799efbf6307,1,6b42b1f7dfb74bb23a01605fbedd5b85,bf100ecb7997df312b285358fb32f92c,2017-02-09 12:46:02,99.90,18.98
0664199560952a51d76e1ccdadbd2cb7,1,99a4788cb24856965c36a24e339b6058,4a3ca9315b744ce9f8e9374361493884,2017-03-27 17:52:09,89.90,11.24
